class,start_frame,stop_frame,video_id,point
Drinking beer,0.2997002997002997,378.9531973175031,v_---9CpRcKoU,196
Dodgeball,136.6209953978159,2167.959479602184,v_--0edUL8zmA,1160
Doing fencing,109.78708268330733,2887.0760218408736,v_--mFXNrRZ5E,1525
Playing congas,1004.0020026457033,3292.694736651804,v_--veKG73Di4,2199
River tubing,49.06836469377142,950.6995511700469,v_-06dWmCzbxY,516
Changing car wheel,625.2463530823237,6373.47895400046,v_-0NfmccuL9Q,3443
Rock-paper-scissors,47.73740152327182,116.35991621297507,v_-0i3BpAQAgE,82
Knitting,615.0646929513543,5374.7191630210655,v_-1CEVKeAyA8,2987
Removing ice from car,0.0,5543.849957452843,v_-1IBHYS3L-Y,2766
Shoveling snow,0.0,2581.594557823129,v_-1IlTIWPNs4,1301
Tug of war,0.3,5585.377275309697,v_-2DajzzRwn0,2800
Shot put,507.0619310327674,954.4695172381505,v_-2VNLsk1s34,737
Shot put,2256.9227126360433,3102.025931023989,v_-2VNLsk1s34,2685
Shot put,4195.688919526036,4991.080183891162,v_-2VNLsk1s34,4594
Baking cookies,1253.4413260997972,1501.764607685606,v_-2dxp-mv2zo,1378
Doing crunches,989.5154880823794,1226.4133907138896,v_-3Ss9jSRbKk,1108
Doing crunches,1624.4019078042759,1873.934390741899,v_-3Ss9jSRbKk,1752
Baton twirling,0.2997002997002997,0.5994005994005994,v_-3baQGb2zIY,0
Slacklining,524.1467191155178,3769.9738093419833,v_-4Q_zG9EChY,2157
Painting furniture,1364.3612047460902,3770.7218966435803,v_-4VuHlphgL4,2546
Archery,2983.244929797192,4806.411028315133,v_-4WdzYpCJPU,3848
Snow tubing,484.97144830208794,1016.2187981597184,v_-5K3KZ6fHuI,754
Wakeboarding,162.9824933257071,3794.232716737241,v_-5KAycAQlC4,2009
Ballet,1264.5540694500507,2526.9316258717886,v_-5Yp-vToI2E,1886
Ballet,76.29141386613387,1207.6495183216784,v_-5Yp-vToI2E,667
Cleaning sink,477.0041666666666,2661.4157710280374,v_-5h2E52tl4Q,1537
Disc dog,254.66566078492596,2147.903781218781,v_-5xWaBSwnjY,1202
Curling,159.9405690513335,792.3492233229327,v_-6prmNqkAN8,474
Playing badminton,404.99046882914274,4489.362431063476,v_-9B2XtqICFw,2509
Making an omelette,907.9652536750821,5401.4667642099275,v_-AUKiMfqga4,3220
Hanging wallpaper,63.87540222647868,3300.229115034731,v_-AaOr1DI2no,1687
Playing accordion,827.42427,2695.7517396645867,v_-AjZCBMb4qU,1768
Playing accordion,384.91566975,625.878189,v_-AjZCBMb4qU,503
Changing car wheel,0.2997002997002997,3425.004995004995,v_-ApIBtH_pVc,1644
Rafting,0.0,4455.67989074883,v_-ArIbKfZc2s,2212
Spinning,320.2843930083734,1700.6650163965744,v_-BVpaPkee2I,1012
Doing fencing,897.0456318252732,1349.1566302652107,v_-C9mAKWi9Ho,1128
Doing fencing,1557.271216848674,2127.7922386895475,v_-C9mAKWi9Ho,1849
Throwing darts,365.30458427457097,562.3767942121685,v_-CS7U_XrkPI,463
Throwing darts,793.0954790171608,980.5544104212167,v_-CS7U_XrkPI,886
Throwing darts,1192.0465381591266,1398.7320266302652,v_-CS7U_XrkPI,1293
Throwing darts,1586.1909580343215,1788.0698072386895,v_-CS7U_XrkPI,1684
Throwing darts,2009.1752135101406,2187.020866380655,v_-CS7U_XrkPI,2095
Throwing darts,2571.5520077223086,2763.8175783931356,v_-CS7U_XrkPI,2671
Tug of war,0.28,2320.108,v_-Cefl3S_L-w,1148
Throwing darts,240.52535101404055,513.1207488299532,v_-DaX_1bBNAo,375
Playing pool,0.24999999999999997,3859.228744149766,v_-DphPPTybSY,1881
Getting a tattoo,621.346333853354,2926.9821060842437,v_-EKpX0t44pQ,1792
