class,start_frame,stop_frame,video_id,point
pick-up_plug,334.0,366.0,00_Desk2,350
plug_plug,478.0,541.0,00_Desk2,509
switch-on_socket,828.0,865.0,00_Desk2,846
pick-up_tape,1070.0,1099.0,00_Desk2,1085
scan_card-reader,348.0,375.0,00_Door1,362
open_door,410.0,479.0,00_Door1,443
scan_card-reader,228.0,252.0,00_Door2,240
open_door,297.0,343.0,00_Door2,319
pull_drawer,173.0,220.0,00_Printer1,196
push_drawer,220.0,257.0,00_Printer1,238
press_button,435.0,456.0,00_Printer1,445
press_button,500.00000000000006,520.0,00_Printer1,510
pull_drawer,215.0,261.0,00_Printer2,238
push_drawer,261.0,295.0,00_Printer2,278
press_button,489.0,510.0,00_Printer2,499
press_button,578.0,601.0,00_Printer2,589
pick-up_cup,404.0,437.0,00_Sink1,420
turn_tap,525.0,546.0,00_Sink1,535
rinse_cup,547.0,697.0,00_Sink1,622
turn_tap,694.0,717.0,00_Sink1,705
press_button,983.0,1004.0,00_Sink1,992
take_cup,1151.0,1188.0,00_Sink1,1169
put_cup,1348.0,1396.0,00_Sink1,1372
pick-up_jar,1645.0,1669.0,00_Sink1,1656
put_jar,1822.0,1864.0,00_Sink1,1843
open_jar,1890.0,1937.9999999999998,00_Sink1,1913
take_spoon,2034.9999999999998,2077.0,00_Sink1,2056
stir_spoon,2262.0,2412.0,00_Sink1,2336
pick-up_plug,73.0,99.0,01_Desk1,86
insert_wire,387.0,504.99999999999994,01_Desk1,447
switch-on_socket,558.0,603.0,01_Desk1,580
pick-up_tape,754.0,783.0,01_Desk1,768
place_tape,823.0,859.0,01_Desk1,840
pick-up_plug,144.0,205.0,01_Desk2,173
plug_plug,214.0,323.0,01_Desk2,268
insert_wire,489.0,607.0,01_Desk2,548
switch-on_socket,736.0,785.0,01_Desk2,761
pick-up_tape,957.0,998.0,01_Desk2,977
place_tape,1073.0,1125.0,01_Desk2,1098
scan_card-reader,79.0,125.00000000000001,01_Door2,101
open_door,137.0,172.0,01_Door2,154
pull_drawer,94.0,222.0,01_Printer1,156
push_drawer,222.0,276.0,01_Printer1,248
press_button,310.0,362.0,01_Printer1,337
press_button,380.0,413.0,01_Printer1,396
pull_drawer,107.0,201.0,01_Printer2,153
push_drawer,201.0,269.0,01_Printer2,234
press_button,280.0,323.0,01_Printer2,301
press_button,341.0,394.0,01_Printer2,366
pick-up_cup,143.0,166.0,01_Sink1,154
turn_tap,229.0,252.0,01_Sink1,240
rinse_cup,245.99999999999997,417.0,01_Sink1,332
turn_tap,406.0,441.0,01_Sink1,423
put_cup,520.0,569.0,01_Sink1,543
press_button,569.0,602.0,01_Sink1,585
take_cup,669.0,699.0,01_Sink1,684
put_cup,799.0,826.0,01_Sink1,812
pick-up_jar,899.0,931.0,01_Sink1,915
put_jar,985.0000000000001,1013.9999999999999,01_Sink1,999
take_spoon,1034.0,1052.0,01_Sink1,1042
open_jar,1094.0,1141.0,01_Sink1,1117
scoop_spoon,1164.0,1207.0,01_Sink1,1185
pour_spoon,1230.0,1241.0,01_Sink1,1235
stir_spoon,1262.0,1391.0,01_Sink1,1324
pick-up_cup,156.0,181.0,01_Sink2,168
turn_tap,240.0,270.0,01_Sink2,254
rinse_cup,262.0,347.0,01_Sink2,303
fill_cup,348.0,410.0,01_Sink2,379
turn_tap,351.0,412.0,01_Sink2,380
put_cup,486.0,527.0,01_Sink2,506
press_button,527.0,561.0,01_Sink2,544
take_cup,638.0,663.0,01_Sink2,650
put_cup,757.0,783.0,01_Sink2,770
pick-up_jar,846.0,875.0,01_Sink2,860
put_jar,924.0,952.0,01_Sink2,938
take_spoon,983.0,1022.0000000000001,01_Sink2,1002
open_jar,1072.0,1108.0,01_Sink2,1089
pour_spoon,1175.0,1192.0,01_Sink2,1183
stir_spoon,1203.0,1352.0,01_Sink2,1277
pick-up_plug,226.0,276.0,02_Desk1,251
plug_plug,437.0,519.0,02_Desk1,477
insert_wire,567.0,770.0,02_Desk1,670
switch-on_socket,926.0,967.0,02_Desk1,946
pick-up_tape,1140.0,1182.0,02_Desk1,1160
place_tape,1258.0,1303.0,02_Desk1,1281
scan_card-reader,100.0,141.0,02_Door1,121
open_door,175.0,235.0,02_Door1,205
scan_card-reader,104.0,144.0,02_Door2,123
open_door,181.0,224.0,02_Door2,202
pull_drawer,97.0,177.0,02_Printer1,137
push_drawer,177.0,244.99999999999997,02_Printer1,210
press_button,385.0,423.0,02_Printer1,404
press_button,447.0,485.00000000000006,02_Printer1,466
pick-up_cup,112.0,148.0,02_Sink1,130
turn_tap,225.0,271.0,02_Sink1,248
rinse_cup,232.0,308.0,02_Sink1,270
fill_cup,308.0,359.0,02_Sink1,333
put_cup,472.0,524.0,02_Sink1,498
press_button,524.0,552.0,02_Sink1,538
take_cup,705.0,753.0,02_Sink1,729
put_cup,860.0,912.0,02_Sink1,886
pick-up_jar,1012.0,1066.0,02_Sink1,1038
take_spoon,1197.0,1219.0,02_Sink1,1207
open_jar,1251.0,1288.0,02_Sink1,1269
scoop_spoon,1294.0,1332.0,02_Sink1,1312
pour_spoon,1367.0,1388.0,02_Sink1,1377
pick-up_plug,204.0,236.0,03_Desk1,219
plug_plug,273.0,324.0,03_Desk1,298
insert_wire,429.0,508.99999999999994,03_Desk1,470
switch-on_socket,591.0,635.0,03_Desk1,613
pick-up_tape,852.0,892.0,03_Desk1,872
pick-up_plug,192.0,238.0,03_Desk2,215
plug_plug,290.0,361.0,03_Desk2,324
insert_wire,473.0,572.0,03_Desk2,524
switch-on_socket,653.0,698.0,03_Desk2,675
pick-up_tape,923.0,964.9999999999999,03_Desk2,944
place_tape,1048.0,1102.0,03_Desk2,1075
scan_card-reader,152.0,176.0,03_Door1,163
open_door,211.0,261.0,03_Door1,236
scan_card-reader,182.0,212.0,03_Door2,197
open_door,242.0,270.0,03_Door2,256
pull_drawer,130.0,206.0,03_Printer1,167
push_drawer,210.0,250.00000000000003,03_Printer1,230
press_button,415.0,450.0,03_Printer1,432
press_button,541.0,574.0,03_Printer1,557
pull_drawer,180.0,242.0,03_Printer2,210
push_drawer,246.99999999999997,295.0,03_Printer2,270
press_button,416.0,456.0,03_Printer2,436
press_button,512.0,548.0,03_Printer2,530
pick-up_cup,167.0,199.0,03_Sink1,183
turn_tap,274.0,295.0,03_Sink1,284
rinse_cup,295.0,401.0,03_Sink1,348
fill_cup,401.0,534.0,03_Sink1,466
turn_tap,491.0,534.0,03_Sink1,512
put_cup,691.0,745.0,03_Sink1,717
press_button,824.0,877.0,03_Sink1,850
take_cup,987.9999999999999,1041.0,03_Sink1,1014
put_cup,1174.0,1226.0,03_Sink1,1199
pick-up_jar,1346.0,1385.0,03_Sink1,1365
put_jar,1434.0,1467.0,03_Sink1,1450
open_jar,1467.0,1492.0,03_Sink1,1479
